wall = float32(2.5)
dirt = float32(0.75)
grass = float32(1.0)
wood = float32(1.25)
tigerColour = float32(1.75)
deerColour = float32(0.25)

epoch,name,fitness,DNA
1,LENNIE,21,0001101111010011101011010001101110011101010111110100010110011110100001110100011111101110110000000010
1,MONICA,3,0001110011001010001101101100000001101100001111011011111110011111100011011000010110101000010001011111
1,DEBBIE,24,1011001010111001010110101110110101101000110010110010010110010101110111000110101110111011111111000101
1,HOLLY,3,1011001100100001111011111101110001000100111101000101010001001101010111110000000011100010101110001001
1,LANCE,9,1001101001001110111010010001001001111111011011100001001010011011111010010101011000111110010100110101
1,MONICA,15,1111010100111000001110000000111100101010000100001110101001010000011001111011111001111111101101001111
1,CHARLOTTE,3,1101001011010101110110001001011010100111011100010011001110110000111111001011101001101001011010101011
1,NED,39,1001111001110110001011111001111101001110111001000101110101101101000101111010110100101100110100001000
1,CLAYTON,3,1111110101111101100000111100111010011010111011000101001110110100101000101011111111000010001111111001
1,LUCY,27,1000001010100111100100001100101110110011101000101010101001000001010110011101011011010111010000110111
1,MAX,9,1011010110001110101101100000000111010011100011101101010110111001010100101111000001010111001011100000
1,GRETCHEN,48,1110110000101011110100011110110110101010010110110101001100001010110011001101111111100001011100100010
1,EDWINA,30,1101001001011001101011111000111110001010000100101011111000101110110011010011010011111100101110101001
1,ERWIN,30,1000010100111101001100111101111001100001101011001101110000010101001110010011110011101010011001000110
1,LATIFAH,88,0101100010100111010110000101111101000000101110001100100111111101111011111001101011110000000111111011
1,DEBBIE,91,0110011100010010111000001111101011000000100100110100101011011111000011000011001100000001111101001101
1,BERTRAND,24,1011010100011000010100010110110110101010010110110101001100001010110011001101111111100001011100100010
1,LARA,37,1110110000101010101110000000111100101010000100001110101001010000011001111011111001111111101101001111
1,EMILY,15,1011001010110110001011111001110101001110111001000101110101101101000101101010110100101100110100001000
1,ALLAN,13,0110011100010010111000001111101011000000100100110100101010010101110111000110101110111011111111000101
1,LAURENCE,18,1001101001001110111010010001001001111111011011100001001011001011111010010101011000111110010100100111
1,LARA,36,1000010100111101001100111101111001100001101011001010101001000001010110011101011011010111010000110111
1,KATE,33,1000001010100111101100001100101110110000101001001101110000010101001111010011110011101010011001000110
1,MAUREEN,25,1000001010100111100100001100101110110011101000101010101001000001010110011101011011010111010000110111
2,ALBERT,19,1101001001011001101011111000110110001010110110110011111000101110110011010011010011111100101110101001
2,TRACY,36,0101100010100101010100000101111101000000101111001100110111111101111011011101001011111100110100001000
2,LAURENCE,52,1011010100011000010100010110110110101010010110110101001100001010110011001101111111100011011100100010
2,MINERVA,33,0101100010100111010110000110110110101010011110001100100111111101111011111001101011110000000111111011
