wall = float32(1.25)
dirt = float32(0.375)
grass = float32(0.5)
wood = float32(0.625)
tigerColour = float32(0.875)
deerColour = float32(0.125)

epoch,name,fitness,DNA
1,FREDERICKA,45,1001010101100001010000011111011110100110010111000010110110000001101111011010111111010110010111000000
1,LANCE,42,1111000110101111011010010010011111001000100100001101011001011000010010001010010011110100100011000011
1,AUDREY,21,1100110110000110100000100111111111111011010010010010100011011000110001110111100111110000000111111100
1,TERRANCE,36,1100001101000010101111000011110111111000011010000111001110001101100100001100100101000010110110000010
1,LUCY,74,1001100101111010001001000111001100011100101000101000100011101111101101100110011000110101111010001101
1,EMANUEL,72,1111001000000111100010001000111001000000010110010100100111001010010000101000100000110110110101101001
1,BERTRAND,3,0010000100001111011011001100111010011101011111110000101001111000100000000000000111011100010011100011
1,JULIO,18,0011010100010001001011001101000110000101001011111011100010001011010100011011010110110111001011010010
1,GRANT,3,0000001110001101011111111010011110111111010111010011100101110110010111110000100010110100110100010001
1,WINSTON,96,0111101110000111101001100100011111000010101110011000101011010001010010011110000010010110100001001110
1,ANGELA,24,0011010101010100111011100010100101001100001011010001111000010100000011001011101010100001010100000011
1,JUAN,88,1011000000101111010100110101100000110111001110110100010001010100101110001011101010010000000100110111
1,KATE,9,1111010001010100010110111010101101101010001000111011000011011100101101011101111101100011000010100000
1,EMMA,21,0011000110101000100011001110110100111110101001011010100101111110111000010001000100001101100010101111
1,LARA,63,0111010111000100001010101111100011100011111001011101000110100111100101001011000110101110011100101001
1,XAVIER,21,1001000000111110110001011010101110001111101011110100100100111011111000010001100110100001101001110100
1,OLI,15,1111101100111001111010011011001110010010001100011011000101110011000001011110111110010111110100000111
1,KELLY,73,0110011000110001011111100110100100111010111101001011100111010111111110000010001001000010001011100000
1,LAURENCE,42,1100110110000110100000100111101100011100101000101000100011101111101101100110011000110101111010001101
1,RANDY,39,1111001000100111100010001000111001000000010110010100100111001010010000101000100000110110110110000000
1,CASSANDRA,44,1001100101111010001001010111011111111011010010110010100011011000110001110111101111110000000111111100
1,HELEN,24,1001011101100000010000010111011110100110010111000010110010000001101111011010011111010110010101101001
1,DENIS,36,1100110110000110100100100111111111111011010010010010100011011000110001110111110111110000000111111100
1,ROLY,57,0110011000110001011111100110100101111010111101001111100111010111111110000010001001000010001011100000
2,REX,118,1011000000100001010000011111011000110111001110110100010001010100101110001011101010010000000101110111
2,GLADYS,64,1111001000100110101111000011111001000000010110010100100111001010010000101000100000110110110101101001
2,MARION,54,0110011000110001011111100110101101111010111101001111100111010111111110000010001000000010001011100000
2,SIBYL,55,1001100101111010001000001111011110100110010111000010110111000001111111011010111111011110010111000000
2,CHARLOTTE,66,0110011000110001011111100110101101111010111101001111100111010111111110000010001000000010001011100000
2,TIMOTHY,72,1001010101100001010000011111011110100110010111000010110110000001101111011010111111010110010111000000
2,CLAIRE,48,0110011000110001011111100110100100111010111101101011100110010111111110000010001001000010001011100000
2,ROLY,66,1011000000100001010000011111011001000111001110110100010001010100101100001011101010010000100101110111
2,EVERETT,54,1001100101111010001001000111001100011100101000101000100111001010010000101000100000110110110101101001
2,EVELYN,91,0110011000110001011111100110101101111010111101001111100111010111111110000010001000000010001011100000
2,CHARLOTTE,78,1111001000000111100010001000111001000000010110010100100111001010010000101000100000110110100101101001
3,KELLY,75,0110011001110001011111100110100100111010111101001011100111010111111110000010001101000010001011100000
3,MARION,112,0110011000111001011111100110101101111010111101001111100111010111111110000010001000000011001011100000
3,OLI,66,0110011001110001011101100110111101111010111111001011100111010111101110000010001101000010101011100000
3,LUCILLE,88,0111101110000111101001100100011111000010101110011000101011010001010010011110000010010110100001001110
4,MARION,84,0110011000111001011111100110101101111010111101001111100111010111111110000010001000000011001011100000
4,FREDDIE,97,0110011010110001011111100110101101111010111101001111000111010111111110000110001000000010001011100000
4,HOLLY,84,0010111010110011011111100110101101111010111101001111100111000110100110000110011000000010101011000000
4,NATALIE,118,0011000000100111000100110100100000010111001110110100010001000100101100101011101010000110101001010000
6,SOPHIA,81,0110001111111001010111100101101101111010011101001111100011000111101110000111101001000000001011100000
6,CLAYTON,91,1101000111000000101100010101111110000010001101011110101101110111101111100101110100111011100111100001
6,EVELYN,76,1110011010011011010101111100100000010110001110110101111001000100111110001111101000110000000100110110
7,EMMA,98,0110011000110101011110100100011111000011001010011000101011011001110100011110011000101110101011100000
7,CHERYL,106,0111011000110001011110100110101101110010111001001111100111010111011110010010000010011111100001001110
8,VIKKI,121,0011011000100001010000011011001000100111001111000100110111000000001010010010000010010110100001011111
8,JESS,82,0111100010100011000000000000110001011110001110110000000001001110101101111001001000010111101011100001
9,TERRANCE,135,0011010000111001011111100000101100111010011101101101100111010111011110000011001110000011001011110001
9,EVELYN,104,0110111000111001011111100110101101111010111101001111100111010011111110000010001000000011001011100000
9,HELEN,108,0011010000111001011111100000101100111010011101100101100111010101011110000011001110000011001011110001
10,WINSTON,90,0110011000011001011111100110101111011010111101011111100111010101111110000101011000001010000011100000
10,OLI,106,0110101010111000011111100110100101111010111001001111100111010011110110000010000110000011101010100000
11,EVERETT,99,0011001000100001010000111011001000110110001111010100110111010000001010010010001011010110100001011111
12,SOPHIA,112,0110101010111010011111100110100101111010111001001111110001010100101110001011101010010000000101110111
